Fax Number,Organization (Client Name),Manager (For the client org),Emails,,,,,,,
13614506865,City of Rockport,T3 Comm,publicworks@cityofrockport.com,,,,,,,
12108993632,Hakeem Law,T3 Comm,katherine@hakeemlaw.com,ali@hakeemlaw.com,,,,,,
12108078019,Spinal Stabilization,T3 Comm,amurillo@sstspine.com,ccloud@sstspine.com,rrowland@sstspine.com,,,,,
12106589299,Jodi Head Lopez & Associates,T3 Comm,jodi@jhlopezlaw.com,di.marie@jhlopezlaw.com,grace.kunde@jhlopezlaw.com,staff@jhlopezlaw.com,tanya.swenson@jhlopezlaw.com,shawn.vandenberg@jhlopezlaw.com,fax@jhlopezlaw.com,,
19037657315,Workforce Solutions,T3 Comm,michelle.marbut@netxworks.org,,,,,,,
12084615796,Big O Tires Ammon,ECSI,bigoammon@gmail.com,,,,,,,
12085467126,The Walker Center Group,ECSI,chris@thewalkercenter.org,,,,,,,
12106279002,The Ron Salazar Law Firm,T3 Comm,katy@ronsalazarlaw.com,ron@ronsalazarlaw.com,,,,,,
12108195830,CJB Inc.,T3 Comm,cjoycebarksdaleinc@att.net,carjbar@satx.rr.com,vq@cjbinc.net,rcfreedomministrie@sbcglobal.net,,,,
12085467121,Pool Water Systems,ECSI,apwatercompany@gmail.com,,,,,,,
12087549923,"Snarr, PLLC",ECSI,bryans@snarrcpa.com,frontdesk@snarrcpa.com,,,,,,
12106724259,McNay Art Museum,T3 Comm,jenelle.esparza@mcnayart.org,,,,,,,
12085619054,The Revenue Advisors,ECSI,marlina@therevenueadvisors.com,justine@therevenueadvisors.com,jessica@therevenueadvisors.com,cdavies@therevenueadvisors.com,,,,
12817100125,Cardinal Culinary,T3 Comm,fax@cardinalculinary.com,,,,,,,
12106556448,Texas RV Supply,T3 Comm,pam@txrvsupply.com,ted@txrvsupply.com,tony@txrvsupply.com,sean@txrvsupply.com,mark@txrvsupply.com,,,
19035826862,Workforce Solutions,T3 Comm,Renee.franklin@netxworks.org,maquita.donald@netxworks.org,holly.zacharias@netxworks.org,erin.thomas@netxworks.org,tamara.taylor@netxworks.org,,,
12103689729,"Tessmer Law Firm, P.L.L.C.",T3 Comm,elaine@tessmerlawfirm.com,heidi@tessmerlawfirm.com,reception@tessmerlawfirm.com,,,,,
12103442883,Access Food Marketing Group,T3 Comm,dellfina@accessfoodgroup.com,john@accessfoodgroup.com,cody@accessfoodgroup.com,,,,,
12108920577,T3 Comm,T3 Comm,j.childs@t3com.net,,,,,,,
13617905966,City of Rockport,T3 Comm,records@cityofrockport.com,citysec@cityofrockport.com,citymgr@cityofrockport.com,admin@cityofrockport.com,,,,
13617299645,City of Rockport,T3 Comm,court@cityofrockport.com,,,,,,,
13617279393,City of Rockport,T3 Comm,poolmgr@cityofrockport.com,pool2@cityofrockport.com,parks3@cityofrockport.com,,,,,
13617296476,City of Rockport,T3 Comm,building@cityofrockport.com,codeenforcement2@cityofrockport.com,permits@cityofrockport.com,buildingadmin@cityofrockport.com,,,,
13617901165,City of Rockport,T3 Comm,mdelarosa@cityofrockport.com,utility7@cityofrockport.com,utility6@cityofrockport.com,utility5@cityofrockport.com,utility3@cityofrockport.com,utility2@cityofrockport.com,,,
13613862521,City of Rockport,T3 Comm,finance2@cityofrockport.com,,,,,,,
13617291126,City of Rockport,T3 Comm,HR@cityofrockport.com,,,,,,,
12103418553,Home Care Assistance,T3 Comm,smarrow@homecareassistance.com,salbers@homecareassistance.com,jmarrow@homecareassistance.com,,,,,
13617297672,City of Rockport,T3 Comm,publicworks9@cityofrockport.com,publicworks6@cityofrockport.com,,,,,,
12105581860,"Prytime Medical Devices, Inc.",T3 Comm,dbaer@prytimemedical.com,gmarshall@prytimemedical.com,sgrajeda@prytimemedical.com,talexander@prytimemedical.com,scampbell@prytimemedical.com,cscott@prytimemedical.com,,,
13617299750,Aransas County Appraisal District,T3 Comm,offmgr@aransascad.org,barbarak@aransascad.org,mikes@aransascad.org,donnap@aransascad.org,,,,
13617279346,City of Rockport,T3 Comm,aqua1@cityofrockport.com,,,,,,,
19035720159,Workforce Solutions,T3 Comm,deborah.miller@twc.state.tx.us,susan.lousberg@netxworks.org,rhonda.brown@netxworks.org,debra.sinclair@twc.state.tx.us,gaby.tuck@netxworks.org,andrew.loden@twc.state.tx.us,,,
19034391012,Workforce Solutions,T3 Comm,stacie.gregory@netxworks.org,nina.smith@netxworks.org,darren.mcgill@netxworks.org,donna.argenbright@netxworks.org,,,,
19037847267,Workforce Solutions,T3 Comm,misty.walters@netxworks.org,mary.zarones@netxworks.org,jeannie.sherwood@netxworks.org,shanta.williams@netxworks.org,jan.brown@netxworks.org,,,
14325176319,CASA Southwest,T3 Comm,jenniferf@casawtx.org,pattyp@casawtx.org,kathyh@casawtx.org,aprilh@casawtx.org,michaeld@casawtx.org,jodym@casawtx.org,christinaj@casawtx.org,stacir@casawtx.org,sarab@casawtx.org
14325176292,CASA Southwest,T3 Comm,ladonnek@casawtx.org,sherriec@casawtx.org,melissad@casawtx.org,tracyf@casawtx.org,hollyp@casawtx.org,anitad@casawtx.org,,
12089807490,Bingham Family Vision,ECSI,family.vision@hotmail.com,,,,,,,
12089060976,Raymond James,ECSI,jennifer.call@raymondjames.com,mark.young@raymondjames.com,aaron.burke@raymondjames.com,tami.douglass@raymondjames.com,kelli.jenkins@raymondjames.com,,,,
12085467127,Healthy Care Solutions,ECSI,healthysolutions1@live.com,,,,,,,
12085142590,Iona Bonneville Sewer,ECSI,manager@sewerdistrict.com,donna.bridges@sewerdistrict.com,brit.gaudio@sewerdistrict.com,marina.meier@sewerdistrict.com,,,,
12082058720,Twentieth Century Homes,ECSI,billagado@gmail.com,,,,,,,
12108923623,Empire Service Management,T3 Comm,irmaesm91@aol.com,,,,,,,
12108076325,Stone Oak Undrwriters,T3 Comm,tom@stoneoak.com,joe@stoneoak.com,service@stoneoak.com,,,,,
12108078775,Stone Oak Undrwriters,T3 Comm,cheryl@stoneoak.com,,,,,,,
13093264786,Mocadi Networks,Mocadi Networks,wmccormick3@thebrookfieldgroup.com,bhursey@thebrookfieldgroup.com,,,,,,
12086492656,Western Realty,ECSI,westernfaxes@gmail.com,,,,,,,
12108923835,Remedy Intelligent Staffing,T3 Comm,carmenb@remedystaff.com,yesenia.garibay@remedystaff.com,erin.eckensberger@remedystaff.com,jim.eckensberger@remedystaff.com,melissa.gomez@remedystaff.com,,,,
12103901677,T3 Comm,T3 Comm,joe@synergytele.com,,,,,,,
12108991227,eHealth Screening,T3 Comm,AHYscreening@ehealthscreenings.com,,,,,,,
12106906026,Altus Hospice,HTS Voice & Data,rneal@altushospicecare.com,awillis@altushospicecare.com,cvoges@altushospicecare.com,rhernandez@altushospicecare.com,asilva@altushospicecare.com,,,,
12108923807,G & P Land,HTS Voice & Data,lac@gandpland.com,,,,,,,
12108923632,Remedy Intelligent Staffing,T3 Comm,elida.triano@remedystaff.com,Brenda.soulas@remedystaff.com,julianne.hernandez@remedystaff.com,melissa.maciel@remedystaff.com,lindsey.eckensberger@remedystaff.com,,,,
12105549032,SurGIS,HTS Voice & Data,philip@surgis-texas.com,lydia@surgis-texas.us,,,,,,
18309900692,National Terrazzos Mosaic,T3 Comm,Melissa@NTMA.com,,,,,,,
12147314785,Patriot Truck Sales,Mid-Cities Data Comm,david@patriottrucksales.com,brandon@patriottrucksales.com,,,,,,
12108051760,McNay Art Museum,T3 Comm,sue.king@mcnayart.org,,,,,,,
